IBOV - Carteira do Dia 19/07/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;238.441.689;0,310;
ALOS3;ALLOS;ON      NM;532.616.595;0,551;
ALPA4;ALPARGATAS;PN      N1;166.362.038;0,071;
ABEV3;AMBEV S/A;ON  ATZ;4.394.245.879;2,445;
ARZZ3;AREZZO CO;ON  ED  NM;62.305.891;0,156;
ASAI3;ASSAI;ON      NM;1.349.217.892;0,670;
AZUL4;AZUL;PN      N2;332.825.777;0,130;
B3SA3;B3;ON      NM;5.602.790.110;2,983;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,101;
BBDC3;BRADESCO;ON      N1;1.489.259.656;0,817;
BBDC4;BRADESCO;PN      N1;5.135.772.281;3,075;
BRAP4;BRADESPAR;PN      N1;250.992.819;0,226;
BBAS3;BRASIL;ON      NM;2.842.247.534;3,684;
BRKM5;BRASKEM;PNA     N1;265.877.867;0,234;
BRFS3;BRF SA;ON      NM;835.221.269;0,829;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,738;
CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,261;
CCRO3;CCR SA;ON      NM;995.335.937;0,596;
CMIG4;CEMIG;PN      N1;1.868.640.510;0,974;
CIEL3;CIELO;ON      NM;1.095.462.329;0,299;
COGN3;COGNA ON;ON      NM;1.814.903.540;0,149;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,813;
CSAN3;COSAN;ON      NM;1.168.966.848;0,773;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,298;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,276;
CVCB3;CVC BRASIL;ON      NM;525.582.771;0,047;
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,252;
DXCO3;DEXCO;ON      NM;302.768.240;0,098;
ELET3;ELETROBRAS;ON      N1;1.945.040.784;3,488;
ELET6;ELETROBRAS;PNB     N1;268.733.136;0,541;
EMBR3;EMBRAER;ON      NM;734.632.601;1,438;
ENGI11;ENERGISA;UNT     N2;326.265.871;0,731;
ENEV3;ENEVA;ON      NM;1.579.630.820;0,966;
EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,561;
EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,807;
EZTC3;EZTEC;ON      NM;91.514.307;0,062;
FLRY3;FLEURY;ON      NM;240.822.651;0,177;
GGBR4;GERDAU;PN      N1;1.246.339.197;1,110;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,346;
NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,613;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,149;
HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,825;
HYPE3;HYPERA;ON      NM;409.490.388;0,550;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,222;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,123;
ITSA4;ITAUSA;PN      N1;5.560.910.983;2,720;
ITUB4;ITAUUNIBANCO;PN      N1;4.740.126.023;7,684;
JBSS3;JBS;ON      NM;1.134.986.472;1,701;
KLBN11;KLABIN S/A;UNT     N2;777.422.123;0,794;
RENT3;LOCALIZA;ON      NM;863.138.188;1,789;
LREN3;LOJAS RENNER;ON      NM;951.452.770;0,597;
LWSA3;LWSA;ON      NM;428.737.358;0,091;
MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,212;
MRFG3;MARFRIG;ON      NM;331.799.687;0,177;
BEEF3;MINERVA;ON      NM;261.036.182;0,082;
MRVE3;MRV;ON      NM;375.130.280;0,121;
MULT3;MULTIPLAN;ON      N2;268.505.432;0,312;
PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,053;
PETR3;PETROBRAS;ON      N2;2.150.495.108;4,265;
PETR4;PETROBRAS;PN      N2;4.566.445.852;8,388;
RECV3;PETRORECSA;ON      NM;275.166.463;0,273;
PRIO3;PETRORIO;ON  ATZ NM;804.019.521;1,743;
PETZ3;PETZ;ON      NM;314.729.428;0,059;
RADL3;RAIADROGASIL;ON      NM;1.280.079.284;1,566;
RAIZ4;RAIZEN;PN      N2;1.210.920.604;0,180;
RDOR3;REDE D OR;ON      NM;1.144.776.793;1,547;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,316;
SBSP3;SABESP;ON      NM;340.001.799;1,330;
SANB11;SANTANDER BR;UNT;342.918.449;0,473;
SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,219;
CSNA3;SID NACIONAL;ON;600.865.451;0,362;
SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,179;
SUZB3;SUZANO S.A.;ON      NM;664.114.223;1,706;
TAEE11;TAESA;UNT     N2;218.568.234;0,358;
VIVT3;TELEF BRASIL;ON;408.343.528;0,961;
TIMS3;TIM;ON      NM;807.896.814;0,645;
TOTS3;TOTVS;ON      NM;514.122.351;0,687;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,478;
UGPA3;ULTRAPAR;ON      NM;1.087.228.062;1,170;
USIM5;USIMINAS;PNA     N1;515.117.391;0,206;
VALE3;VALE;ON      NM;4.427.123.466;12,911;
VAMO3;VAMOS;ON      NM;498.860.020;0,209;
VBBR3;VIBRA;ON      NM;1.114.613.709;1,225;
VIVA3;VIVARA S.A.;ON      NM;125.912.025;0,138;
WEGE3;WEG;ON      NM;1.482.105.837;3,349;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,159;
Quantidade Teórica Total;;;95.381.185.532;100,000
Redutor;;;16.431.231,56745229
